isotope,half_life_s,note
6B,,PROTON-UNBOUND
7B,5.7e-22,
8B,0.7719,
9B,8.0e-19,
10B,,STABLE
11B,,STABLE
12B,0.0202,
13B,0.01716
14B,0.01236
15B,0.01018
16B,>4.6e-21,LOWER-BOUND
17B,0.00508,
18B,<2.6e-8,UPPER-BOUND
19B,0.00292,
20B,>9.124e-22,LOWER-BOUND
21B,>7.6e-22,LOWER-BOUND
