isotope,half_life_s,note
13F,,OBSERVED-2021
14F,5.0e-22,
15F,1.1e-21,
16F,2.1e-20,
17F,64.37,
18F,6583.9,
19F,,STABLE
20F,11.0062,
21F,4.158,
22F,4.23,
23F,2.23,
24F,0.384,
25F,0.08,
26F,0.0082,
27F,0.005,
28F,4.6e-20,
29F,0.0025,
30F,,OBSERVED-2024
31F,,ACTIVE
