isotope,half_life_s,note
8C,3.5e-21,
9C,0.1265,
10C,19.3011,
11C,1220.4,
12C,,STABLE
13C,,STABLE
14C,1.799e11,5700y
15C,2.449,
16C,0.75,
17C,0.193,
18C,0.092,
19C,0.0462,
20C,0.016,
21C,<3.0e-8,UPPER-BOUND
22C,0.0062,
23C,,ESTIMATED
