isotope,half_life_s,note
"³H Tritium",388789632,"±0.02 y"
"⁴H",1.39e-22,"±10 ys"
"⁵H",8.6e-23,"±6 ys"
"⁶H",2.94e-22,"±67 ys"
"⁷H",6.52e-22,"±558 ys"
"¹H; ²H",,STABLE
