isotope,half_life_s
5Be,NOT-ESTABLISHED
6Be,5.0e-21
7Be,4599168
8Be,8.19e-17
9Be,STABLE
10Be,4.377e13
11Be,13.76
12Be,0.02146
13Be,1.0e-21
14Be,0.00453
15Be,7.9e-22
16Be,6.5e-22
