isotope,half_life_s,note
12O,8.9e-21,
13O,0.00858,
14O,70.621,
15O,122.266,
16O,,STABLE
17O,,STABLE
18O,,STABLE
19O,26.47,
20O,13.51,
21O,3.42,
22O,2.25,
23O,0.097,
24O,0.0774,DRIP-EDGE
25O,5.18e-21,
26O,4.2e-12,
27O,,OBSERVED-2023
28O,,OBSERVED-2023
