At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Config.,Ground Level,Prefix,Ionization Energy (b) (eV),Suffix,Uncertainty (c) (eV),References,
"=""1""","=""H I""","=""0""","=""Hydrogen""","=""H""","=""1s""","=""1s""","=""2S<1/2>""","=""(""","=""13.598434599702""","="")""","=""0.000000000012""","=""HDEL""",
"=""2""","=""He I""","=""0""","=""Helium""","=""He""","=""1s2""","=""1s2""","=""1S0""","=""""","=""24.587389011""","=""""","=""0.000000025""","=""L17714""",
"=""2""","=""He II""","=""+1""","=""Helium""","=""H""","=""1s""","=""1s""","=""2S<1/2>""","=""(""","=""54.4177655282""","="")""","=""0.0000000010""","=""L19200""",
"=""3""","=""Li I""","=""0""","=""Lithium""","=""Li""","=""1s2.2s""","=""1s2.2s""","=""2S<1/2>""","=""""","=""5.391714996""","=""""","=""0.000000022""","=""L12261""",
"=""3""","=""Li II""","=""+1""","=""Lithium""","=""He""","=""1s2""","=""1s2""","=""1S0""","=""(""","=""75.6400970""","="")""","=""0.0000012""","=""L10054""",
"=""3""","=""Li III""","=""+2""","=""Lithium""","=""H""","=""1s""","=""1s""","=""2S<1/2>""","=""(""","=""122.45435913""","="")""","=""0.00000011""","=""L19200""",
"=""4""","=""Be I""","=""0""","=""Beryllium""","=""Be""","=""1s2.2s2""","=""1s2.2s2""","=""1S0""","=""""","=""9.322699""","=""""","=""0.000007""","=""L5964""",
"=""4""","=""Be II""","=""+1""","=""Beryllium""","=""Li""","=""1s2.2s""","=""1s2.2s""","=""2S<1/2>""","=""""","=""18.21115""","=""""","=""0.00004""","=""L12158""",
"=""4""","=""Be III""","=""+2""","=""Beryllium""","=""He""","=""1s2""","=""1s2""","=""1S0""","=""(""","=""153.896205""","="")""","=""0.000004""","=""L10054""",
"=""4""","=""Be IV""","=""+3""","=""Beryllium""","=""H""","=""1s""","=""1s""","=""2S<1/2>""","=""(""","=""217.71858459""","="")""","=""0.00000010""","=""L19200""",
"=""5""","=""B I""","=""0""","=""Boron""","=""B""","=""1s2.2s2.2p""","=""2s2.2p""","=""2P*<1/2>""","=""""","=""8.298019""","=""""","=""0.000003""","=""L12312""",
"=""5""","=""B II""","=""+1""","=""Boron""","=""Be""","=""1s2.2s2""","=""1s2.2s2""","=""1S0""","=""""","=""25.15483""","=""""","=""0.00005""","=""L12120""",
"=""5""","=""B III""","=""+2""","=""Boron""","=""Li""","=""1s2.2s""","=""1s2.2s""","=""2S<1/2>""","=""""","=""37.93059""","=""""","=""0.00007""","=""L12547""",
"=""5""","=""B IV""","=""+3""","=""Boron""","=""He""","=""1s2""","=""1s2""","=""1S0""","=""(""","=""259.374379""","="")""","=""0.000009""","=""L10054""",
"=""5""","=""B V""","=""+4""","=""Boron""","=""H""","=""1s""","=""1s""","=""2S<1/2>""","=""(""","=""340.2260225""","="")""","=""0.0000006""","=""L19200""",
"=""6""","=""C I""","=""0""","=""Carbon""","=""C""","=""1s2.2s2.2p2""","=""2s2.2p2""","=""3P0""","=""""","=""11.2602880""","=""""","=""0.0000011""","=""L20057""",
"=""6""","=""C II""","=""+1""","=""Carbon""","=""B""","=""1s2.2s2.2p""","=""2s2.2p""","=""2P*<1/2>""","=""""","=""24.383143""","=""""","=""0.000012""","=""L22145""",
"=""6""","=""C III""","=""+2""","=""Carbon""","=""Be""","=""1s2.2s2""","=""1s2.2s2""","=""1S0""","=""""","=""47.88778""","=""""","=""0.00025""","=""L876c191""",
"=""6""","=""C IV""","=""+3""","=""Carbon""","=""Li""","=""1s2.2s""","=""1s2.2s""","=""2S<1/2>""","=""""","=""64.49352""","=""""","=""0.00019""","=""L11667""",
"=""6""","=""C V""","=""+4""","=""Carbon""","=""He""","=""1s2""","=""1s2""","=""1S0""","=""(""","=""392.09056""","="")""","=""0.00004""","=""L21139""",
"=""6""","=""C VI""","=""+5""","=""Carbon""","=""H""","=""1s""","=""1s""","=""2S<1/2>""","=""(""","=""489.99320779""","="")""","=""0.00000022""","=""L19200""",
"=""7""","=""N I""","=""0""","=""Nitrogen""","=""N""","=""1s2.2s2.2p3""","=""2s2.2p3""","=""4S*<3/2>""","=""""","=""14.53413""","=""""","=""0.00004""","=""L1411""",
"=""7""","=""N II""","=""+1""","=""Nitrogen""","=""C""","=""1s2.2s2.2p2""","=""2s2.2p2""","=""3P0""","=""[""","=""29.60125""","=""]""","=""0.00009""","=""L11770""",
"=""7""","=""N III""","=""+2""","=""Nitrogen""","=""B""","=""1s2.2s2.2p""","=""2s2.2p""","=""2P*<1/2>""","=""[""","=""47.4453""","=""]""","=""0.0025""","=""L11770""",
"=""7""","=""N IV""","=""+3""","=""Nitrogen""","=""Be""","=""1s2.2s2""","=""1s2.2s2""","=""1S0""","=""""","=""77.4735""","=""""","=""0.0004""","=""L7288,L876""",
"=""7""","=""N V""","=""+4""","=""Nitrogen""","=""Li""","=""1s2.2s""","=""1s2.2s""","=""2S<1/2>""","=""""","=""97.8901""","=""""","=""0.0004""","=""L4829""",
"=""7""","=""N VI""","=""+5""","=""Nitrogen""","=""He""","=""1s2""","=""1s2""","=""1S0""","=""(""","=""552.06741""","="")""","=""0.00008""","=""L21139""",
"=""7""","=""N VII""","=""+6""","=""Nitrogen""","=""H""","=""1s""","=""1s""","=""2S<1/2>""","=""(""","=""667.0461377""","="")""","=""0.0000007""","=""L19200""",
"=""8""","=""O I""","=""0""","=""Oxygen""","=""O""","=""1s2.2s2.2p4""","=""2s2.2p4""","=""3P<2>""","=""""","=""13.618055""","=""""","=""0.000007""","=""L74,L3760""",
"=""8""","=""O II""","=""+1""","=""Oxygen""","=""N""","=""1s2.2s2.2p3""","=""2s2.2p3""","=""4S*<3/2>""","=""""","=""35.12112""","=""""","=""0.00006""","=""L11267,L10621""",
"=""8""","=""O III""","=""+2""","=""Oxygen""","=""C""","=""1s2.2s2.2p2""","=""2s2.2p2""","=""3P0""","=""[""","=""54.93554""","=""]""","=""0.00012""","=""L11770""",
"=""8""","=""O IV""","=""+3""","=""Oxygen""","=""B""","=""1s2.2s2.2p""","=""2s2.2p""","=""2P*<1/2>""","=""""","=""77.41350""","=""""","=""0.00025""","=""L648""",
"=""8""","=""O V""","=""+4""","=""Oxygen""","=""Be""","=""1s2.2s2""","=""1s2.2s2""","=""1S0""","=""""","=""113.8990""","=""""","=""0.0005""","=""L7288""",
"=""8""","=""O VI""","=""+5""","=""Oxygen""","=""Li""","=""1s2.2s""","=""1s2.2s""","=""2S<1/2>""","=""[""","=""138.1189""","=""]""","=""0.0021""","=""L4713""",
"=""8""","=""O VII""","=""+6""","=""Oxygen""","=""He""","=""1s2""","=""1s2""","=""1S0""","=""(""","=""739.32697""","="")""","=""0.00015""","=""L21139""",
"=""8""","=""O VIII""","=""+7""","=""Oxygen""","=""H""","=""1s""","=""1s""","=""2S<1/2>""","=""(""","=""871.4099138""","="")""","=""0.0000012""","=""L19200""",
"=""9""","=""F I""","=""0""","=""Fluorine""","=""F""","=""1s2.2s2.2p5""","=""2s2.2p5""","=""2P*<3/2>""","=""""","=""17.42282""","=""""","=""0.00005""","=""L7481,L526""",
"=""9""","=""F II""","=""+1""","=""Fluorine""","=""O""","=""1s2.2s2.2p4""","=""2s2.2p4""","=""3P<2>""","=""""","=""34.97081""","=""""","=""0.00012""","=""L369""",
"=""9""","=""F III""","=""+2""","=""Fluorine""","=""N""","=""1s2.2s2.2p3""","=""2s2.2p3""","=""4S*<3/2>""","=""[""","=""62.70798""","=""]""","=""0.00025""","=""L11770""",
"=""9""","=""F IV""","=""+3""","=""Fluorine""","=""C""","=""1s2.2s2.2p2""","=""2s2.2p2""","=""3P0""","=""[""","=""87.175""","=""]""","=""0.017""","=""L11770""",
"=""9""","=""F V""","=""+4""","=""Fluorine""","=""B""","=""1s2.2s2.2p""","=""2s2.2p""","=""2P*<1/2>""","=""[""","=""114.249""","=""]""","=""0.006""","=""L11770""",
"=""9""","=""F VI""","=""+5""","=""Fluorine""","=""Be""","=""1s2.2s2""","=""1s2.2s2""","=""1S0""","=""""","=""157.16311""","=""""","=""0.00025""","=""L6491""",
"=""9""","=""F VII""","=""+6""","=""Fluorine""","=""Li""","=""1s2.2s""","=""1s2.2s""","=""2S<1/2>""","=""""","=""185.1868""","=""""","=""0.0006""","=""L6335""",
"=""9""","=""F VIII""","=""+7""","=""Fluorine""","=""He""","=""1s2""","=""1s2""","=""1S0""","=""(""","=""953.8983""","="")""","=""0.0003""","=""L21139""",
"=""9""","=""F IX""","=""+8""","=""Fluorine""","=""H""","=""1s""","=""1s""","=""2S<1/2>""","=""(""","=""1103.1175302""","="")""","=""0.0000019""","=""L19200""",
"=""10""","=""Ne I""","=""0""","=""Neon""","=""Ne""","=""1s2.2s2.2p6""","=""2s2.2p6""","=""1S0""","=""""","=""21.564541""","=""""","=""0.000007""","=""L8826,L1407""",
"=""10""","=""Ne II""","=""+1""","=""Neon""","=""F""","=""1s2.2s2.2p5""","=""2s2.2p5""","=""2P*<3/2>""","=""""","=""40.96297""","=""""","=""0.00004""","=""L1406""",
"=""10""","=""Ne III""","=""+2""","=""Neon""","=""O""","=""1s2.2s2.2p4""","=""2s2.2p4""","=""3P<2>""","=""""","=""63.4233""","=""""","=""0.0003""","=""L9091""",
"=""10""","=""Ne IV""","=""+3""","=""Neon""","=""N""","=""1s2.2s2.2p3""","=""2s2.2p3""","=""4S*<3/2>""","=""[""","=""97.1900""","=""]""","=""0.0025""","=""L11782""",
"=""10""","=""Ne V""","=""+4""","=""Neon""","=""C""","=""1s2.2s2.2p2""","=""2s2.2p2""","=""3P0""","=""""","=""126.247""","=""""","=""0.012""","=""L11744""",
"=""10""","=""Ne VI""","=""+5""","=""Neon""","=""B""","=""1s2.2s2.2p""","=""2s2.2p""","=""2P*<1/2>""","=""""","=""157.934""","=""""","=""0.005""","=""L9340""",
"=""10""","=""Ne VII""","=""+6""","=""Neon""","=""Be""","=""1s2.2s2""","=""1s2.2s2""","=""1S0""","=""""","=""207.271""","=""""","=""0.012""","=""L9089""",
"=""10""","=""Ne VIII""","=""+7""","=""Neon""","=""Li""","=""1s2.2s""","=""1s2.2s""","=""2S<1/2>""","=""[""","=""239.0970""","=""]""","=""0.0019""","=""L9090""",
"=""10""","=""Ne IX""","=""+8""","=""Neon""","=""He""","=""1s2""","=""1s2""","=""1S0""","=""(""","=""1195.8082""","="")""","=""0.0004""","=""L21139""",
"=""10""","=""Ne X""","=""+9""","=""Neon""","=""H""","=""1s""","=""1s""","=""2S<1/2>""","=""(""","=""1362.199256""","="")""","=""0.000004""","=""L19200""",
"=""11""","=""Na I""","=""0""","=""Sodium""","=""Na""","=""[Ne].3s""","=""2p6.3s""","=""2S<1/2>""","=""""","=""5.13907696""","=""""","=""0.00000025""","=""L10921,L9648""",
"=""11""","=""Na II""","=""+1""","=""Sodium""","=""Ne""","=""1s2.2s2.2p6""","=""2s2.2p6""","=""1S0""","=""""","=""47.28636""","=""""","=""0.00025""","=""L914""",
"=""11""","=""Na III""","=""+2""","=""Sodium""","=""F""","=""1s2.2s2.2p5""","=""2s2.2p5""","=""2P*<3/2>""","=""[""","=""71.6200""","=""]""","=""0.0012""","=""L5793,L2720""",
"=""11""","=""Na IV""","=""+3""","=""Sodium""","=""O""","=""1s2.2s2.2p4""","=""2s2.2p4""","=""3P<2>""","=""[""","=""98.936""","=""]""","=""0.012""","=""L11770""",
"=""11""","=""Na V""","=""+4""","=""Sodium""","=""N""","=""1s2.2s2.2p3""","=""2s2.2p3""","=""4S*<3/2>""","=""""","=""138.404""","=""""","=""0.012""","=""L7482""",
"=""11""","=""Na VI""","=""+5""","=""Sodium""","=""C""","=""1s2.2s2.2p2""","=""2s2.2p2""","=""3P0""","=""[""","=""172.23""","=""]""","=""0.05""","=""L11770""",
"=""11""","=""Na VII""","=""+6""","=""Sodium""","=""B""","=""1s2.2s2.2p""","=""2s2.2p""","=""2P*<1/2>""","=""[""","=""208.504""","=""]""","=""0.012""","=""L11770""",
"=""11""","=""Na VIII""","=""+7""","=""Sodium""","=""Be""","=""1s2.2s2""","=""1s2.2s2""","=""1S0""","=""[""","=""264.192""","=""]""","=""0.022""","=""L11770""",
"=""11""","=""Na IX""","=""+8""","=""Sodium""","=""Li""","=""1s2.2s""","=""1s2.2s""","=""2S<1/2>""","=""(""","=""299.856""","="")""","=""0.007""","=""L16264c99""",
"=""11""","=""Na X""","=""+9""","=""Sodium""","=""He""","=""1s2""","=""1s2""","=""1S0""","=""(""","=""1465.0992""","="")""","=""0.0007""","=""L21139""",
"=""11""","=""Na XI""","=""+10""","=""Sodium""","=""H""","=""1s""","=""1s""","=""2S<1/2>""","=""(""","=""1648.702285""","="")""","=""0.000005""","=""L19200""",
"=""12""","=""Mg I""","=""0""","=""Magnesium""","=""Mg""","=""[Ne].3s2""","=""2p6.3s2""","=""1S0""","=""""","=""7.646236""","=""""","=""0.000004""","=""L10635,L6969""",
"=""12""","=""Mg II""","=""+1""","=""Magnesium""","=""Na""","=""[Ne].3s""","=""2p6.3s""","=""2S<1/2>""","=""""","=""15.035271""","=""""","=""0.000006""","=""L10635""",
"=""12""","=""Mg III""","=""+2""","=""Magnesium""","=""Ne""","=""1s2.2s2.2p6""","=""2s2.2p6""","=""1S0""","=""""","=""80.1436""","=""""","=""0.0006""","=""L4995,L1434""",
"=""12""","=""Mg IV""","=""+3""","=""Magnesium""","=""F""","=""1s2.2s2.2p5""","=""2s2.2p5""","=""2P*<3/2>""","=""[""","=""109.2654""","=""]""","=""0.0012""","=""L4995,L2720""",
"=""12""","=""Mg V""","=""+4""","=""Magnesium""","=""O""","=""1s2.2s2.2p4""","=""2s2.2p4""","=""3P<2>""","=""[""","=""141.33""","=""]""","=""0.03""","=""L11770""",
"=""12""","=""Mg VI""","=""+5""","=""Magnesium""","=""N""","=""1s2.2s2.2p3""","=""2s2.2p3""","=""4S*<3/2>""","=""[""","=""186.76""","=""]""","=""0.06""","=""L10635""",
"=""12""","=""Mg VII""","=""+6""","=""Magnesium""","=""C""","=""1s2.2s2.2p2""","=""2s2.2p2""","=""3P0""","=""[""","=""225.02""","=""]""","=""0.06""","=""L11770""",
"=""12""","=""Mg VIII""","=""+7""","=""Magnesium""","=""B""","=""1s2.2s2.2p""","=""2s2.2p""","=""2P*<1/2>""","=""[""","=""265.924""","=""]""","=""0.019""","=""L11770""",
"=""12""","=""Mg IX""","=""+8""","=""Magnesium""","=""Be""","=""1s2.2s2""","=""1s2.2s2""","=""1S0""","=""[""","=""327.99""","=""]""","=""0.04""","=""L11770""",
"=""12""","=""Mg X""","=""+9""","=""Magnesium""","=""Li""","=""1s2.2s""","=""1s2.2s""","=""2S<1/2>""","=""(""","=""367.489""","="")""","=""0.007""","=""L16264c99""",
"=""12""","=""Mg XI""","=""+10""","=""Magnesium""","=""He""","=""1s2""","=""1s2""","=""1S0""","=""(""","=""1761.8049""","="")""","=""0.0010""","=""L21139""",
"=""12""","=""Mg XII""","=""+11""","=""Magnesium""","=""H""","=""1s""","=""1s""","=""2S<1/2>""","=""(""","=""1962.663889""","="")""","=""0.000007""","=""L19200""",
"=""13""","=""Al I""","=""0""","=""Aluminum""","=""Al""","=""[Ne].3s2.3p""","=""3s2.3p""","=""2P*<1/2>""","=""""","=""5.985769""","=""""","=""0.000003""","=""L7215,L10321""",
"=""13""","=""Al II""","=""+1""","=""Aluminum""","=""Mg""","=""[Ne].3s2""","=""2p6.3s2""","=""1S0""","=""""","=""18.82855""","=""""","=""0.00005""","=""L7215""",
"=""13""","=""Al III""","=""+2""","=""Aluminum""","=""Na""","=""[Ne].3s""","=""2p6.3s""","=""2S<1/2>""","=""""","=""28.447642""","=""""","=""0.000025""","=""L4714,L277""",
"=""13""","=""Al IV""","=""+3""","=""Aluminum""","=""Ne""","=""1s2.2s2.2p6""","=""2s2.2p6""","=""1S0""","=""""","=""119.9924""","=""""","=""0.0019""","=""L4714,L2829""",
"=""13""","=""Al V""","=""+4""","=""Aluminum""","=""F""","=""1s2.2s2.2p5""","=""2s2.2p5""","=""2P*<3/2>""","=""[""","=""153.8252""","=""]""","=""0.0025""","=""L4714,L3565""",
"=""13""","=""Al VI""","=""+5""","=""Aluminum""","=""O""","=""1s2.2s2.2p4""","=""2s2.2p4""","=""3P<2>""","=""[""","=""190.49""","=""]""","=""0.05""","=""L7215""",
"=""13""","=""Al VII""","=""+6""","=""Aluminum""","=""N""","=""1s2.2s2.2p3""","=""2s2.2p3""","=""4S*<3/2>""","=""[""","=""241.76""","=""]""","=""0.09""","=""L7215""",
"=""13""","=""Al VIII""","=""+7""","=""Aluminum""","=""C""","=""1s2.2s2.2p2""","=""2s2.2p2""","=""3P0""","=""[""","=""284.64""","=""]""","=""0.07""","=""L11770""",
"=""13""","=""Al IX""","=""+8""","=""Aluminum""","=""B""","=""1s2.2s2.2p""","=""2s2.2p""","=""2P*<1/2>""","=""[""","=""330.21""","=""]""","=""0.04""","=""L11770""",
"=""13""","=""Al X""","=""+9""","=""Aluminum""","=""Be""","=""1s2.2s2""","=""1s2.2s2""","=""1S0""","=""[""","=""398.65""","=""]""","=""0.06""","=""L11770""",
"=""13""","=""Al XI""","=""+10""","=""Aluminum""","=""Li""","=""1s2.2s""","=""1s2.2s""","=""2S<1/2>""","=""(""","=""442.005""","="")""","=""0.007""","=""L16264c99""",
"=""13""","=""Al XII""","=""+11""","=""Aluminum""","=""He""","=""1s2""","=""1s2""","=""1S0""","=""(""","=""2085.97693""","="")""","=""0.00016""","=""L21139""",
"=""13""","=""Al XIII""","=""+12""","=""Aluminum""","=""H""","=""1s""","=""1s""","=""2S<1/2>""","=""(""","=""2304.140359""","="")""","=""0.000012""","=""L19200""",
"=""14""","=""Si I""","=""0""","=""Silicon""","=""Si""","=""[Ne].3s2.3p2""","=""3s2.3p2""","=""3P0""","=""""","=""8.15168""","=""""","=""0.00003""","=""L5815""",
"=""14""","=""Si II""","=""+1""","=""Silicon""","=""Al""","=""[Ne].3s2.3p""","=""3s2.3p""","=""2P*<1/2>""","=""""","=""16.34585""","=""""","=""0.00004""","=""L5815""",
"=""14""","=""Si III""","=""+2""","=""Silicon""","=""Mg""","=""[Ne].3s2""","=""2p6.3s2""","=""1S0""","=""""","=""33.49300""","=""""","=""0.00009""","=""L5815""",
"=""14""","=""Si IV""","=""+3""","=""Silicon""","=""Na""","=""[Ne].3s""","=""2p6.3s""","=""2S<1/2>""","=""""","=""45.14179""","=""""","=""0.00007""","=""L5815,L6098""",
"=""14""","=""Si V""","=""+4""","=""Silicon""","=""Ne""","=""1s2.2s2.2p6""","=""2s2.2p6""","=""1S0""","=""""","=""166.767""","=""""","=""0.003""","=""L3934""",
"=""14""","=""Si VI""","=""+5""","=""Silicon""","=""F""","=""1s2.2s2.2p5""","=""2s2.2p5""","=""2P*<3/2>""","=""[""","=""205.279""","=""]""","=""0.005""","=""c192""",
"=""14""","=""Si VII""","=""+6""","=""Silicon""","=""O""","=""1s2.2s2.2p4""","=""2s2.2p4""","=""3P<2>""","=""[""","=""246.57""","=""]""","=""0.05""","=""c193""",
"=""14""","=""Si VIII""","=""+7""","=""Silicon""","=""N""","=""1s2.2s2.2p3""","=""2s2.2p3""","=""4S*<3/2>""","=""[""","=""303.59""","=""]""","=""0.05""","=""c193""",
"=""14""","=""Si IX""","=""+8""","=""Silicon""","=""C""","=""1s2.2s2.2p2""","=""2s2.2p2""","=""3P0""","=""[""","=""351.28""","=""]""","=""0.06""","=""c193""",
"=""14""","=""Si X""","=""+9""","=""Silicon""","=""B""","=""1s2.2s2.2p""","=""2s2.2p""","=""2P*<1/2>""","=""[""","=""401.38""","=""]""","=""0.04""","=""L11770""",
"=""14""","=""Si XI""","=""+10""","=""Silicon""","=""Be""","=""1s2.2s2""","=""1s2.2s2""","=""1S0""","=""[""","=""476.273""","=""]""","=""0.019""","=""c192""",
"=""14""","=""Si XII""","=""+11""","=""Silicon""","=""Li""","=""1s2.2s""","=""1s2.2s""","=""2S<1/2>""","=""(""","=""523.415""","="")""","=""0.007""","=""L16264c99""",
"=""14""","=""Si XIII""","=""+12""","=""Silicon""","=""He""","=""1s2""","=""1s2""","=""1S0""","=""(""","=""2437.65805""","="")""","=""0.00017""","=""L21139""",
"=""14""","=""Si XIV""","=""+13""","=""Silicon""","=""H""","=""1s""","=""1s""","=""2S<1/2>""","=""(""","=""2673.177958""","="")""","=""0.000017""","=""L19200""",
"=""15""","=""P I""","=""0""","=""Phosphorus""","=""P""","=""[Ne].3s2.3p3""","=""3s2.3p3""","=""4S*<3/2>""","=""""","=""10.486686""","=""""","=""0.000015""","=""L5148""",
"=""15""","=""P II""","=""+1""","=""Phosphorus""","=""Si""","=""[Ne].3s2.3p2""","=""3s2.3p2""","=""3P0""","=""[""","=""19.76949""","=""]""","=""0.00004""","=""L11770""",
"=""15""","=""P III""","=""+2""","=""Phosphorus""","=""Al""","=""[Ne].3s2.3p""","=""3s2.3p""","=""2P*<1/2>""","=""""","=""30.20264""","=""""","=""0.00009""","=""L7147""",
"=""15""","=""P IV""","=""+3""","=""Phosphorus""","=""Mg""","=""[Ne].3s2""","=""2p6.3s2""","=""1S0""","=""""","=""51.44387""","=""""","=""0.00012""","=""L7147""",
"=""15""","=""P V""","=""+4""","=""Phosphorus""","=""Na""","=""[Ne].3s""","=""2p6.3s""","=""2S<1/2>""","=""""","=""65.02511""","=""""","=""0.00012""","=""L7147,L2613""",
"=""15""","=""P VI""","=""+5""","=""Phosphorus""","=""Ne""","=""1s2.2s2.2p6""","=""2s2.2p6""","=""1S0""","=""[""","=""220.430""","=""]""","=""0.005""","=""L11770""",
"=""15""","=""P VII""","=""+6""","=""Phosphorus""","=""F""","=""1s2.2s2.2p5""","=""2s2.2p5""","=""2P*<3/2>""","=""[""","=""263.57""","=""]""","=""0.06""","=""L7147""",
"=""15""","=""P VIII""","=""+7""","=""Phosphorus""","=""O""","=""1s2.2s2.2p4""","=""2s2.2p4""","=""3P<2>""","=""[""","=""309.60""","=""]""","=""0.10""","=""L7147""",
"=""15""","=""P IX""","=""+8""","=""Phosphorus""","=""N""","=""1s2.2s2.2p3""","=""2s2.2p3""","=""4S*<3/2>""","=""[""","=""372.31""","=""]""","=""0.21""","=""L11770""",
"=""15""","=""P X""","=""+9""","=""Phosphorus""","=""C""","=""1s2.2s2.2p2""","=""2s2.2p2""","=""3P0""","=""[""","=""424.40""","=""]""","=""0.09""","=""L11770""",
"=""15""","=""P XI""","=""+10""","=""Phosphorus""","=""B""","=""1s2.2s2.2p""","=""2s2.2p""","=""2P*<1/2>""","=""[""","=""479.44""","=""]""","=""0.05""","=""L11770""",
"=""15""","=""P XII""","=""+11""","=""Phosphorus""","=""Be""","=""1s2.2s2""","=""1s2.2s2""","=""1S0""","=""[""","=""560.62""","=""]""","=""0.10""","=""L11770""",
"=""15""","=""P XIII""","=""+12""","=""Phosphorus""","=""Li""","=""1s2.2s""","=""1s2.2s""","=""2S<1/2>""","=""(""","=""611.741""","="")""","=""0.007""","=""L16264c99""",
"=""15""","=""P XIV""","=""+13""","=""Phosphorus""","=""He""","=""1s2""","=""1s2""","=""1S0""","=""(""","=""2816.90868""","="")""","=""0.00019""","=""L21139""",
"=""15""","=""P XV""","=""+14""","=""Phosphorus""","=""H""","=""1s""","=""1s""","=""2S<1/2>""","=""(""","=""3069.842145""","="")""","=""0.000014""","=""L19200""",
"=""16""","=""S I""","=""0""","=""Sulfur""","=""S""","=""[Ne].3s2.3p4""","=""3s2.3p4""","=""3P<2>""","=""""","=""10.3600167""","=""""","=""0.0000014""","=""L23116""",
"=""16""","=""S II""","=""+1""","=""Sulfur""","=""P""","=""[Ne].3s2.3p3""","=""3s2.3p3""","=""4S*<3/2>""","=""""","=""23.33788""","=""""","=""0.00025""","=""L7237,L5883""",
"=""16""","=""S III""","=""+2""","=""Sulfur""","=""Si""","=""[Ne].3s2.3p2""","=""3s2.3p2""","=""3P0""","=""[""","=""34.86""","=""]""","=""0.04""","=""L11770""",
"=""16""","=""S IV""","=""+3""","=""Sulfur""","=""Al""","=""[Ne].3s2.3p""","=""3s2.3p""","=""2P*<1/2>""","=""[""","=""47.222""","=""]""","=""0.012""","=""L7237""",
"=""16""","=""S V""","=""+4""","=""Sulfur""","=""Mg""","=""[Ne].3s2""","=""2p6.3s2""","=""1S0""","=""""","=""72.5945""","=""""","=""0.0004""","=""L7237""",
"=""16""","=""S VI""","=""+5""","=""Sulfur""","=""Na""","=""[Ne].3s""","=""2p6.3s""","=""2S<1/2>""","=""""","=""88.0529""","=""""","=""0.0004""","=""L7237,L4882""",
"=""16""","=""S VII""","=""+6""","=""Sulfur""","=""Ne""","=""1s2.2s2.2p6""","=""2s2.2p6""","=""1S0""","=""""","=""280.954""","=""""","=""0.007""","=""L9896""",
"=""16""","=""S VIII""","=""+7""","=""Sulfur""","=""F""","=""1s2.2s2.2p5""","=""2s2.2p5""","=""2P*<3/2>""","=""""","=""328.794""","=""""","=""0.007""","=""L11242""",
"=""16""","=""S IX""","=""+8""","=""Sulfur""","=""O""","=""1s2.2s2.2p4""","=""2s2.2p4""","=""3P<2>""","=""[""","=""379.84""","=""]""","=""0.21""","=""L11770""",
"=""16""","=""S X""","=""+9""","=""Sulfur""","=""N""","=""1s2.2s2.2p3""","=""2s2.2p3""","=""4S*<3/2>""","=""[""","=""447.7""","=""]""","=""0.3""","=""L11770""",
"=""16""","=""S XI""","=""+10""","=""Sulfur""","=""C""","=""1s2.2s2.2p2""","=""2s2.2p2""","=""3P0""","=""[""","=""504.55""","=""]""","=""0.12""","=""L11770""",
"=""16""","=""S XII""","=""+11""","=""Sulfur""","=""B""","=""1s2.2s2.2p""","=""2s2.2p""","=""2P*<1/2>""","=""[""","=""564.41""","=""]""","=""0.05""","=""L11770""",
"=""16""","=""S XIII""","=""+12""","=""Sulfur""","=""Be""","=""1s2.2s2""","=""1s2.2s2""","=""1S0""","=""[""","=""651.96""","=""]""","=""0.12""","=""L11770""",
"=""16""","=""S XIV""","=""+13""","=""Sulfur""","=""Li""","=""1s2.2s""","=""1s2.2s""","=""2S<1/2>""","=""(""","=""706.994""","="")""","=""0.007""","=""L16264c99""",
"=""16""","=""S XV""","=""+14""","=""Sulfur""","=""He""","=""1s2""","=""1s2""","=""1S0""","=""(""","=""3223.78057""","="")""","=""0.00020""","=""L21139""",
"=""16""","=""S XVI""","=""+15""","=""Sulfur""","=""H""","=""1s""","=""1s""","=""2S<1/2>""","=""(""","=""3494.188518""","="")""","=""0.000019""","=""L19200""",
"=""17""","=""Cl I""","=""0""","=""Chlorine""","=""Cl""","=""[Ne].3s2.3p5""","=""3s2.3p5""","=""2P*<3/2>""","=""""","=""12.967633""","=""""","=""0.000016""","=""L19191""",
"=""17""","=""Cl II""","=""+1""","=""Chlorine""","=""S""","=""[Ne].3s2.3p4""","=""3s2.3p4""","=""3P<2>""","=""""","=""23.81364""","=""""","=""0.00012""","=""L1617""",
"=""17""","=""Cl III""","=""+2""","=""Chlorine""","=""P""","=""[Ne].3s2.3p3""","=""3s2.3p3""","=""4S*<3/2>""","=""[""","=""39.80""","=""]""","=""0.11""","=""L11770""",
"=""17""","=""Cl IV""","=""+3""","=""Chlorine""","=""Si""","=""[Ne].3s2.3p2""","=""3s2.3p2""","=""3P0""","=""[""","=""53.24""","=""]""","=""0.12""","=""L11770""",
"=""17""","=""Cl V""","=""+4""","=""Chlorine""","=""Al""","=""[Ne].3s2.3p""","=""3s2.3p""","=""2P*<1/2>""","=""[""","=""67.68""","=""]""","=""0.10""","=""L11770""",
"=""17""","=""Cl VI""","=""+5""","=""Chlorine""","=""Mg""","=""[Ne].3s2""","=""2p6.3s2""","=""1S0""","=""[""","=""96.94""","=""]""","=""0.04""","=""L11770""",
